2022-05-27 14:13:48,731  root       INFO    [Console] - Now logging under configuration
2022-05-27 14:13:48,749  root       WARNING Missing value for [default_userid] in config, return default value Console
2022-05-27 14:13:48,749  root       WARNING Missing value for [description] in config, return default value ProgramY AIML2.0 Client
2022-05-27 14:13:48,750  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,750  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,750  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,750  root       WARNING Missing value for [dirs] in config, return default value
2022-05-27 14:13:48,750  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,750  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,750  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,750  root       WARNING Missing value for [dirs] in config, return default value
2022-05-27 14:13:48,751  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,751  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,751  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,751  root       WARNING Missing value for [extension] in config, return default value None
2022-05-27 14:13:48,751  root       WARNING Missing value for [subdirs] in config, return default value False
2022-05-27 14:13:48,751  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,751  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,751  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,751  root       WARNING Missing value for [extension] in config, return default value None
2022-05-27 14:13:48,751  root       WARNING Missing value for [subdirs] in config, return default value False
2022-05-27 14:13:48,751  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,751  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,751  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,751  root       WARNING Missing value for [subdirs] in config, return default value False
2022-05-27 14:13:48,751  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,752  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,752  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,752  root       WARNING Missing value for [subdirs] in config, return default value False
2022-05-27 14:13:48,752  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,752  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,752  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,752  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,752  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,752  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,752  root       WARNING Missing value for [dirs] in config, return default value
2022-05-27 14:13:48,752  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,752  root       WARNING Missing value for [encoding] in config, return default value None
